Time,Open,High,Low,Close,Volume
04/11/2021 07:00:00,29.4581,29.6451,29.2927,29.5267,1582.98
04/11/2021 08:00:00,29.506,29.8327,29.506,29.8326,618.28
04/11/2021 09:00:00,29.8333,29.8409,29.5661,29.5661,495.7
04/11/2021 10:00:00,29.6391,29.8663,29.6273,29.7352,321.7
04/11/2021 11:00:00,29.8459,29.9793,29.6621,29.9036,574.05
04/11/2021 12:00:00,29.9857,30.4067,29.8742,30.1959,4847.16
04/11/2021 13:00:00,30.1962,30.2069,29.863,29.863,2717.72
04/11/2021 14:00:00,29.8586,30.116,29.8181,30.0399,4723
04/11/2021 15:00:00,30.0632,30.1978,29.9396,29.986,580.31
04/11/2021 16:00:00,29.9069,30.0633,29.815,29.815,1427.86
04/11/2021 17:00:00,29.8356,30.0835,29.6807,30.0501,3491.99
04/11/2021 18:00:00,30.1067,30.3647,30.0889,30.2543,1525.92
04/11/2021 19:00:00,30.2543,30.4456,30.1297,30.2594,964.34
04/11/2021 20:00:00,30.2016,30.3708,30.1622,30.33,1839.29
04/11/2021 21:00:00,30.3464,30.4234,30.2174,30.2924,1035.17
04/11/2021 22:00:00,30.2923,30.6598,29.7233,29.9682,7668.43
04/11/2021 23:00:00,29.9912,29.992,29.6758,29.848,3836.37
04/12/2021 00:00:00,29.9523,29.9953,29.5464,29.5966,2446.2
04/12/2021 01:00:00,29.6087,30.1167,29.5944,30.0008,2307.43
04/12/2021 02:00:00,29.9278,30.0276,29.7966,29.8217,1464.74
04/12/2021 03:00:00,29.8688,30.291,29.8334,30.1474,3031.53
04/12/2021 04:00:00,30.1718,31.1399,30.1419,31.009,5411.76
04/12/2021 05:00:00,31.0867,31.6999,30.8225,31.6809,8534.48
04/12/2021 06:00:00,31.7,31.9674,31.2429,31.9207,6245.21
04/12/2021 07:00:00,31.9156,31.9924,31.441,31.441,4544.63
04/12/2021 08:00:00,31.5637,31.713,31.3591,31.5548,1024.04
04/12/2021 09:00:00,31.4851,32.9945,31.3744,32.7611,25074.71
04/12/2021 10:00:00,32.7621,34.2251,32.676,33.65,29646.57
04/12/2021 11:00:00,33.7377,33.7377,32.8324,33.5141,7726.39
04/12/2021 12:00:00,33.5374,33.8564,33.2375,33.29,6420.55
04/12/2021 13:00:00,33.3004,33.6573,33.1255,33.5989,2856.01
04/12/2021 14:00:00,33.6348,33.8101,33.1198,33.2793,12864.31
04/12/2021 15:00:00,33.4029,35.0283,33.08,35.0283,26841.93
04/12/2021 16:00:00,34.9586,37.4345,34.6714,37.1996,89083.04
04/12/2021 17:00:00,37.1251,37.1342,35.65,36.4399,27169.98
04/12/2021 18:00:00,36.3312,37.5971,36.2265,36.952,36086.08
04/12/2021 19:00:00,36.9369,37.2503,36.5349,36.7631,16246.75
04/12/2021 20:00:00,36.8011,36.9396,36.0968,36.4698,15584.33
04/12/2021 21:00:00,36.4495,36.8816,36.1281,36.7693,8038.22
04/12/2021 22:00:00,36.6843,38.1129,36.4891,38,18060.8
04/12/2021 23:00:00,37.9771,37.98,36.5454,36.723,17804.59
04/13/2021 00:00:00,36.71,37.1505,36.0263,36.4751,12640.24
04/13/2021 01:00:00,36.3352,36.5071,35.7938,36.3257,15890.79
04/13/2021 02:00:00,36.3259,36.3528,35.5609,35.8837,8270.75
04/13/2021 03:00:00,35.7805,36.3339,35.7139,36.1922,6386.04
04/13/2021 04:00:00,36.2237,36.3749,35.2834,35.3554,5209.3
04/13/2021 05:00:00,35.4244,36.0552,35.1909,35.4346,5332.65
04/13/2021 06:00:00,35.507,35.708,34.3519,34.5911,9130.04
04/13/2021 07:00:00,34.6889,35.0492,34.4345,34.9309,4762.18
04/13/2021 08:00:00,34.996,35.05,34.2855,34.6464,7899.92
04/13/2021 09:00:00,34.6634,35.1422,34.3142,35.0534,4781.69
